Year,Title,rating,link
1988,Die Hard,R,https://www.imdb.com/title/tt0095016/
1976,Rocky,PG,https://www.imdb.com/title/tt0075148/
1979,Rocky II,PG,https://www.imdb.com/title/tt0079817/
1982,Rocky III,PG,https://www.imdb.com/title/tt0084602/
1985,Rocky IV,PG,https://www.imdb.com/title/tt0089927/
2004,Napoleon Dynamite,PG,https://www.imdb.com/title/tt0374900/
1982,Blade Runner,R,https://www.imdb.com/title/tt0083658/
1996,Happy Gilmore,PG-13,https://www.imdb.com/title/tt0116483/
1993,The Fugitive,PG-13,https://www.imdb.com/title/tt0106977/
1981,Raiders of the Lost Ark,PG,https://www.imdb.com/title/tt0082971/
1984,Indiana Jones and the Temple of Doom,PG,https://www.imdb.com/title/tt0087469/
1989,Indiana Jones and the Last Crusade,PG,https://www.imdb.com/title/tt0097576/
2008,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,https://www.imdb.com/title/tt0367882/
1997,Life is Beautiful,PG-13,https://www.imdb.com/title/tt0118799/
1977,Close Encounters of the Third Kind,PG,https://www.imdb.com/title/tt0075860/
1985,Breakfast Club,R,https://www.imdb.com/title/tt0088847/
1984,Ghost Busters,PG,https://www.imdb.com/title/tt0087332/
1985,Back to the Future,PG,https://www.imdb.com/title/tt0088763/
1989,Back to the Future Part II,PG,https://www.imdb.com/title/tt0096874/
1990,Back to the Future Part III,PG,https://www.imdb.com/title/tt0099088/
1962,To Kill a Mockingbird,PG,https://www.imdb.com/title/tt0056592/
1989,Say Anything,PG-13,https://www.imdb.com/title/tt0098258/
2000,High Fidelity,R,https://www.imdb.com/title/tt0146882/
1986,Stand By Me,R,https://www.imdb.com/title/tt0092005/
1987,Princess Bride,PG,https://www.imdb.com/title/tt0093779/
1983,The Outsiders,PG,https://www.imdb.com/title/tt0086066/
2012,The Iceman,R,https://www.imdb.com/title/tt1491044/
1974,The Longest Yard,R,https://www.imdb.com/title/tt0071771/
1970,Kelly's Heroes,G,https://www.imdb.com/title/tt0065938/
2010,Robin Hood,PG-13,https://www.imdb.com/title/tt0955308/
1986,Ferris Bueller's Day Off,PG-13,https://www.imdb.com/title/tt0091042/
1996,Fargo,R,https://www.imdb.com/title/tt000000000116282/
1989,Weekend at Bernie's,PG-13,https://www.imdb.com/title/tt0098627/
1998,Blues Brother,PG-13,https://www.imdb.com/title/tt0118747/
1972,The Godfather,R,https://www.imdb.com/title/tt0068646/
1974,The Godfather: Part II,R,https://www.imdb.com/title/tt0071562/
1999,Office Space,R,https://www.imdb.com/title/tt0151804/
1981,Time Bandits,PG,https://www.imdb.com/title/tt0081633/
1994,Shawshank Redemption,R,https://www.imdb.com/title/tt0111161/
1999,The Green Mile,R,https://www.imdb.com/title/tt0120689/
1998,Water Boy,PG-13,https://www.imdb.com/title/tt0120484/
1984,Revenge of the Nerds,R,https://www.imdb.com/title/tt0088000/
1993,Groundhog Day,PG,https://www.imdb.com/title/tt0107048/
